denomination_name,denomination_id,published_churches_count,churches_urban,churches_rural,members_total,members_urban,members_rural,members_average_total,members_average_urban,members_average_rural,members_male,members_female,members_sex_unreported,members_over_13,members_under_13,members_age_unreported,church_edifices,churches_reporting_value,churches_value,churches_average_value,churches_reporting_debt,churches_debt,urban_church_edifices,urban_churches_reporting_value,urban_churches_value,urban_churches_average_value,urban_churches_reporting_debt,urban_churches_debt,rural_church_edifices,rural_churches_reporting_value,rural_churches_value,rural_churches_average_value,rural_churches_reporting_debt,rural_churches_debt,churches_reporting_expenditures,total_expenditures,expenses,benevolences,unclassified_expenditures,expenditures_average,urban_churches_reporting_expenditures,urban_total_expenditures,urban_expenses,urban_benevolences,urban_unclassified_expenditures,urban_expenditures_average,rural_churches_reporting_expenditures,rural_total_expenditures,rural_expenses,rural_benevolences,rural_unclassified_expenditures,rural_expenditures_average,parsonage_value_churches_reporting,parsonage_value,parsonage_value_average,parsonage_debt_churches_reporting,parsonage_debt,sunday_schools_churches_reporting,sunday_schools_officers_teachers,sunday_schools_scholars,sunday_schools_scholars_average,urban_sunday_schools_churches_reporting,urban_sunday_schools_officers_teachers,urban_sunday_schools_scholars,urban_sunday_schools_scholars_average,rural_sunday_schools_churches_reporting,rural_sunday_schools_officers_teachers,rural_sunday_schools_scholars,rural_sunday_schools_scholars_average,Start Table 33,black_part_whole_churches,black_churches_total ,black_churches_urban,black_churches_rural,black_members_total,black_members_urban,black_members_rural,black_members_average_total,black_members_average_urban,black_members_average_rural,black_members_male,black_members_female,black_members_sex_unreported,Start Table 34,black_church_edifices,black_churches_reporting_value,black_churches_value,black_churches_average_value,black_churches_reporting_debt,black_churches_debt,black_urban_church_edifices,black_urban_churches_reporting_value,black_urban_churches_value,black_urban_churches_average_value,black_urban_churches_reporting_debt,black_urban_churches_debt,black_rural_church_edifices,black_rural_churches_reporting_value,black_rural_churches_value,black_rural_churches_average_value,black_rural_churches_reporting_debt,black_rural_churches_debt,Start Table 35,black_churches_reporting_expenditures,black_total_expenditures,black_expenses,black_benevolences,black_unclassified_expenditures,black_expenditures_average,black_urban_churches_reporting_expenditures,black_urban_total_expenditures,black_urban_expenses,black_urban_benevolences,black_urban_expenditures_average,black_rural_churches_reporting_expenditures,black_rural_total_expenditures,black_rural_expenses,black_rural_benevolences,black_rural_expenditures_average,Start Table 36,black_parsonage_value_churches_reporting,black_parsonage_value,black_parsonage_value_average,black_parsonage_debt_churches_reporting,black_parsonage_debt,black_sunday_schools_churches_reporting,black_sunday_schools_officers_teachers,black_sunday_schools_scholars,black_sunday_schools_scholars_average,black_urban_sunday_schools_churches_reporting,black_urban_sunday_schools_officers_teachers,black_urban_sunday_schools_scholars,black_urban_sunday_schools_scholars_average,black_rural_sunday_schools_churches_reporting,black_rural_sunday_schools_officers_teachers,black_rural_sunday_schools_scholars,black_rural_sunday_schools_scholars_average
Evangelical Unity of Bohemian and Moravian Brethren in North America,1-5-2,34,6,28,5241,759,4482,154,127,160,2527,2714,NA,3482,1759,NA,18,18,76700,4261,2,3900,2,2,16400,8200,1,1500,16,16,60300,3769,1,2400,34,12023,10517,1506,NA,354,6,1902,1710,192,NA,317,28,10121,8807,1314,NA,361,4,12000,3000,1,800,24,160,1708,71,4,30,254,64,20,130,1454,73,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bohemian and Moravian Brethren Churches,1-5-3,3,NA,3,303,NA,303,101,NA,101,162,141,NA,303,NA,NA,3,3,12000,4000,NA,NA,NA,NA,NA,NA,NA,NA,3,3,12000,4000,NA,NA,3,2626,2148,478,NA,875,NA,NA,NA,NA,NA,NA,3,2626,2148,478,NA,875,1,6000,NA,NA,NA,3,17,318,106,NA,NA,NA,NA,3,17,318,106,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Apostolic Church,1-5-4,25,23,2,2938,2888,50,118,126,25,1413,1525,NA,2265,673,NA,10,10,133000,13300,6,38000,10,10,133000,13300,6,38000,NA,NA,NA,NA,NA,NA,18,26972,16429,10543,NA,1498,18,26972,16429,10543,NA,1498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,41,479,27,18,41,479,27,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Catholic Church ,1-5-7,11,10,1,1367,1320,47,124,132,47,537,830,NA,1085,282,NA,2,2,9430,4715,1,5000,2,2,9430,4715,1,5000,NA,NA,NA,NA,NA,NA,11,11046,9000,2046,NA,1004,10,10624,8578,2046,NA,1062,1,422,422,NA,NA,NA,1,875,NA,NA,NA,5,16,221,44,4,15,210,53,1,1,11,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Catholic Church in America,1-5-6,9,7,2,1888,1436,452,210,205,236,1025,863,NA,1141,747,NA,5,4,37500,9375,4,23600,5,4,37500,9375,4,23600,NA,NA,NA,NA,NA,NA,8,19347,16747,2600,NA,2418,6,15297,13647,1650,NA,2550,2,4050,3100,950,NA,2025,1,10000,NA,1,4200,9,13,997,111,7,11,807,115,2,2,190,95,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North American Old Roman Catholic Church,2-3-5,27,26,1,14793,14403,390,548,554,390,7479,7314,NA,11109,3684,NA,31,24,347435,14476,23,121657,30,23,340685,14812,22,116907,1,1,6750,NA,1,4750,27,102438,95439,6999,NA,3794,26,97580,90686,6894,NA,3753,1,4858,4753,105,NA,NA,15,71986,4799,5,7211,24,44,3446,144,23,43,3373,147,1,1,73,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The (Original) Church of God,2-3-1,50,18,32,1869,728,1141,37,40,36,236,304,1329,574,4,1291,22,21,37415,1782,4,3684,6,5,7615,1523,1,1600,16,16,29800,1863,3,2084,11,5348,4120,1228,NA,486,3,2285,1625,660,NA,762,8,3063,2495,568,NA,383,1,400,NA,NA,NA,11,69,644,59,4,23,118,30,7,46,526,75,,50,1,1,NA,12,12,NA,NA,NA,NA,NA,NA,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentecostal Assemblies of the World,2-2-9,126,98,28,7850,6929,921,62,71,33,2608,5207,35,6428,750,672,67,60,502400,8373,42,166885,54,49,472200,9637,37,164869,13,11,30200,2745,5,2016,114,157785,133452,22832,1501,1384,90,145581,123609,21035,937,1618,24,12204,9843,1797,564,509,10,22300,2230,8,4530,99,600,4550,46,78,500,3652,47,21,100,898,43,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pentecostal Holiness Church,1-6-0,252,80,172,8096,3533,4563,32,44,27,2518,5309,269,7196,182,718,186,186,498246,2679,54,47166,62,62,288775,4658,27,36066,124,124,209471,1689,27,11100,241,185046,128425,50148,6473,768,79,108493,81329,23871,3293,1373,162,76553,47096,26277,3180,473,27,56800,2104,13,12349,202,1331,12772,63,71,551,5548,78,131,780,7224,55,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilgrim Holiness Church,0-9-3,441,166,275,15040,8189,6851,34,49,24,5414,9225,400,12717,523,1800,380,356,1416519,3979,161,266215,148,137,937327,6842,88,204165,232,219,479192,2188,73,62050,415,572164,415368,132351,24445,1379,158,345741,250055,78554,17132,2188,257,226423,165313,53797,7313,881,108,301128,2788,68,90911,388,2964,23467,60,150,1357,12203,81,238,1607,11264,47,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polish National Catholic Church of America,1-6-1,91,77,14,61574,57925,3649,677,752,261,27985,28589,5000,35950,16151,9473,107,84,3365600,40067,72,1047733,93,71,3272500,46092,62,1013983,14,13,93100,7162,10,33750,87,485698,440107,45591,NA,5583,74,458313,414717,43596,NA,6193,13,27385,25390,1995,NA,2107,61,510750,8373,30,91683,74,116,6401,87,64,105,5905,92,10,11,496,50,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Presbyterian Church in the United States of America,1-6-2,8974,3289,5658,1894030,1345438,548592,212,409,97,735649,1074272,84109,1653033,77700,163297,9438,8437,338152743,40080,2392,21404060,3747,3166,275821868,87120,1201,18272865,5691,5271,62330875,11825,1191,313195,8656,63230663,47791827,15299496,139340,7305,3259,49948515,36871833,12979694,96988,15326,5397,13282148,10919994,2319802,42352,2461,5228,35308613,6754,1111,2960359,8237,141338,1407298,171,3212,85529,924360,288,5025,55809,482938,96,,8947,450,195,255,37090,21503,15587,82,110,61,14048,21376,1666,,418,398,3285860,8256,103,263743,186,171,2718550,15898,61,243029,232,227,567310,2499,42,20714,,438,604179,536923,66356,900,1379,192,468451,425149,42402,2440,246,135728,111774,23954,552,,137,539455,3938,34,35236,400,3137,27817,70,181,1727,15598,86,219,1410,12219,56
Cumberland Presbyterian Church,1-6-3,1097,120,977,67938,13696,54242,62,114,56,27760,38330,1848,57770,3345,6823,999,986,3321287,40080,2392,21404060,125,116,1390390,11986,30,90958,874,870,1930897,2219,42,26138,961,759021,646459,106145,6417,790,115,314698,270498,43533,667,2737,846,444323,375961,62612,5750,525,132,334935,2537,24,30217,765,6233,48052,63,99,1295,11528,116,666,4938,36524,55,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colored Cumberland Presbyterian Church,1-6-4,178,60,118,10868,3911,6957,61,65,59,4410,6373,85,9418,1054,396,164,162,353825,2184,35,25095,54,52,167920,3229,20,20710,110,110,185905,1690,15,4385,167,80304,70437,9867,NA,481,56,38569,34049,4520,NA,689,111,41735,36388,5347,NA,376,10,9700,970,2,450,152,840,5223,34,51,295,1763,35,101,545,3460,34,,178,178,60,118,10868,3911,6957,61,65,59,4410,6373,85,,164,162,353825,2184,35,25095,54,52,167920,3229,20,20710,110,110,185905,1690,15,4385,,167,80304,70437,9867,NA,481,56,38569,34049,4520,689,111,41735,36388,5347,376,,10,9700,970,2,450,152,840,5223,34,51,295,1763,35,101,545,3460,34
United Presbyterian Church of North America,1-6-6,901,400,501,171571,113110,58461,190,283,117,71662,96786,3123,156512,7587,7472,930,879,29714845,33805,189,2387360,423,395,23692810,59982,138,2114237,507,484,6022035,12442,51,273123,890,6642820,4234127,2393445,15248,7464,398,4960948,3160139,1800809,NA,12465,492,1681872,1073988,592636,15248,3418,587,3630020,6184,136,453441,871,14924,148658,171,396,9081,97425,246,475,5843,51233,108,,901,14,6,8,1202,602,600,86,100,75,421,668,113,,13,12,189300,15775,NA,NA,7,6,126000,21000,NA,NA,6,6,63300,10550,NA,NA,,12,20211,14043,6168,NA,1684,5,10167,7692,2475,2033,7,10044,6351,3693,1435,,5,22300,4460,NA,NA,14,126,1587,113,6,64,764,127,8,62,823,103
Presbyterian Church in the United States ,1-6-7,3469,932,2587,451043,270188,180855,130,290,71,182552,245743,22748,379463,30769,40811,3617,3148,67798658,21537,621,6461274,1138,885,52622415,59460,351,5676201,2479,2263,15176243,6706,270,785073,3330,15612028,10824191,4784386,3451,4688,920,11743246,8007353,3735693,200,12764,2410,3868782,2816838,1048693,3251,1605,1438,8984140,6248,354,923620,2959,37501,367795,124,892,20250,216997,243,2067,17251,150798,73,,3469,52,17,35,2134,907,1227,41,53,35,817,1303,14,,47,46,138140,3003,10,2102,16,15,92175,6145,4,1670,31,31,45965,1483,6,432,,51,27846,22005,5826,15,546,17,18771,14287,4484,1104,34,9075,7718,1342,267,,15,31850,2123,4,6900,43,231,1569,36,16,98,777,49,27,133,792,29
Associate Synod of North America(Associate Presbyterian Church),1-6-8,11,3,8,329,103,226,30,34,28,126,203,NA,329,NA,NA,10,10,28800,2880,1,1000,3,3,12500,4167,1,1000,7,7,16300,2329,NA,NA,11,8841,6586,2255,NA,804,3,3537,2620,917,NA,1179,8,5304,3966,1338,NA,663,1,3000,NA,1,500,6,14,150,25,2,5,48,24,4,9,102,26,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Associate Reformed Presbyterian Chuch of North America,1-6-9,143,47,96,20410,9206,11204,143,196,117,8699,10096,1615,16392,1664,2354,160,139,2428100,17468,21,251440,52,45,1634500,36322,15,231740,1008,94,793600,8443,6,19700,142,809883,674638,130456,4789,5703,47,607324,536036,66499,4789,12922,95,202559,138602,63957,NA,2132,81,395000,4877,20,53680,137,1640,15998,117,45,709,7442,165,92,931,8556,93,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synod of the Reformed Presbyterian Church of North America,1-7-0,89,44,45,7166,3653,3513,81,83,78,2802,4292,72,6875,219,72,97,79,1427100,18065,9,59900,43,37,1035600,27989,6,23100,54,42,391500,9321,3,36800,89,351179,239569,106475,5135,3946,44,213209,144380,68829,NA,4846,45,137970,95189,37646,5135,3066,34,140400,4129,7,10200,83,1044,7495,99,40,577,4320,108,43,467,3175,74,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reformed Presbyterian Church in North America, General Synod",1-7-1,13,9,4,1929,1472,457,148,164,114,866,1063,NA,1906,23,NA,13,12,346800,28900,2,3200,9,9,304800,33867,1,1200,4,3,42000,14000,1,2000,13,40651,32392,8259,NA,3127,9,32916,25892,7024,NA,3657,4,7735,6500,1235,NA,1934,4,12800,3200,NA,NA,12,138,1259,105,8,106,1009,126,4,32,250,63,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Protestant Episcopal Church,1-7-2,7299,3793,3506,1859056,1551659,307427,255,409,88,741486,1000017,117583,1299351,462310,97425,7085,6532,314596738,48162,1198,12220363,3983,3551,277875539,78253,945,11135472,3102,2981,36721199,12318,253,1084891,6817,44790130,35739568,9013715,36847,6570,3658,39098332,31056373,8027951,14008,10688,3159,5691798,4683195,985764,22839,1802,3648,34616887,9489,785,3230929,5607,58374,479430,86,3422,46522,385680,113,2185,11852,93750,43,,7299,287,205,82,51502,46201,5301,179,225,65,17846,26422,7234,,263,259,4162735,16072,50,285374,192,188,3958210,21054,45,281321,71,71,204525,2881,5,3053,,272,572108,483912,87826,370,2103,198,547923,465947,81714,2767,74,24185,17965,6112,327,,116,636250,5485,19,58225,260,171,19075,73,190,1450,15704,83,70,267,3371,48
Reformed Church in America,1-7-3,717,304,413,153739,96051,57688,214,316,140,58942,78865,15932,118664,1951,33124,817,690,38436822,55706,250,2580473,344,288,30557832,106104,135,2128275,473,402,7878990,19599,115,452198,714,5524673,4319919,1195917,8837,7738,303,3867138,3056371,803767,7000,12763,411,1657535,1263548,392150,1837,4033,580,5002275,8625,127,355460,689,11837,124308,180,296,6898,74667,252,393,4939,49641,126,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reformed Church in the United States,1-7-4,1709,543,1166,361286,200857,160429,211,370,138,159206,195036,7044,339344,1995,19947,1807,1680,44662875,26585,325,4415557,607,537,30471025,56743,218,3619337,1200,1143,14191850,12416,107,796220,1692,7488446,5670525,1817921,NA,4426,539,4907889,3708390,1199499,NA,9106,1153,2580557,1962135,618422,NA,2238,885,5894055,6660,158,573512,1614,29339,315343,195,537,13947,169293,315,1077,15392,146050,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Reformed Church,1-7-5,245,88,157,98534,51076,47458,402,580,302,47035,47848,3651,64252,30547,3735,263,268,5061850,21268,160,1042232,88,84,3367500,40089,64,767820,175,154,1694350,11002,96,274412,242,1700760,1179408,521352,NA,7028,86,1014282,703253,311029,NA,11794,156,686478,476155,210323,NA,4401,224,1515650,6766,84,242197,178,1948,25281,142,77,1137,14932,194,101,811,10349,102,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Magyar Reformed Church in America,1-7-6,11,9,2,3992,3408,584,363,379,292,1784,1808,400,1895,1398,699,13,10,295600,29560,6,121000,12,9,270600,30067,6,121000,1,1,25000,NA,NA,NA,11,96557,93031,3526,NA,8778,9,89781,87370,2411,NA,9976,2,6776,5661,1115,NA,3388,5,54400,10880,4,25500,8,24,793,99,6,18,638,106,2,6,155,78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reformed Episcopal Church,1-7-7,69,36,33,8651,6853,1798,125,190,54,3191,5460,NA,8143,174,334,77,69,2455850,35592,14,106894,44,36,2300000,63889,9,104953,33,33,155850,4723,5,1941,67,242668,202181,40487,NA,3622,35,211319,174570,36749,NA,6038,32,31349,27611,3738,NA,980,11,130200,11836,2,3700,59,696,6174,105,34,543,5046,148,25,153,1128,45,,69,36,7,29,2743,1158,1595,76,165,55,926,1827,NA,,36,36,59850,1663,8,2694,7,7,29500,4214,3,753,29,29,30350,1047,5,1941,,35,18417,12470,5947,NA,526,7,10794,7197,3597,1542,28,7623,5273,2350,272,,1,1200,NA,NA,NA,28,160,1216,43,7,48,450,64,21,112,766,36
Roman Catholic Church,1-7-8,18940,7870,11070,18605003,14809295,3795708,982,1882,343,8371216,8977841,1255946,12857277,5053781,693945,16794,16254,837271053,51512,5361,129937504,6963,6685,669746780,100187,3133,111666915,9831,9569,167524273,17507,2228,18270589,16317,204526487,181737884,19381523,3407080,12535,6931,168408356,148845494,16557004,3005858,24298,9386,36118131,32892390,2824519,401222,3848,11042,135815789,12300,1765,12710766,8239,49498,1201339,146,3699,36506,946807,256,4540,12992,254523,56,,18940,147,117,30,124324,106839,17485,846,913,583,50732,64523,9069,,129,126,4667378,37043,43,851461,104,101,4484128,44397,41,843711,25,25,183250,7330,2,7750,,129,1005645,913914,89731,2000,7796,105,946469,858990,85479,9014,24,59176,54924,4252,2466,,96,879906,9166,15,63147,76,462,11406,150,65,434,10736,165,11,28,670,61
Salvation Army,1-7-9,1052,1030,22,74768,73744,1024,71,72,47,32534,42234,NA,53745,21006,17,668,652,17738506,27206,424,5083565,656,640,17619071,27530,418,5046615,12,12,119435,9953,6,36950,1044,6001317,4147429,1843781,10107,5748,1022,5924523,4097274,1817142,10107,5797,22,76794,50155,26639,NA,3491,NA,NA,NA,NA,NA,1015,10210,91586,90,994,10029,90032,91,21,181,1554,74,,1052,5,5,NA,495,495,NA,99,99,NA,140,355,NA,,1,1,67064,NA,1,21400,1,1,67064,NA,21400,NA,NA,NA,NA,NA,NA,NA,,5,15118,12345,2773,NA,3024,5,15118,12345,2773,3024,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,5,39,470,94,5,39,470,94,NA,NA,NA,NA
Swedish Evangelical Mission Convenant of America,1-8-0,357,166,191,36838,27003,9835,103,163,51,15312,19895,1631,31681,221,4936,357,340,5301379,15592,55,282845,171,162,4188496,25855,36,256590,186,178,1112883,6252,19,26255,344,1402398,1020249,291191,90958,4077,163,1079207,768489,224160,86558,6621,181,323191,251760,67031,4400,1786,213,1253670,5886,46,156009,312,4091,41050,132,157,2772,29177,186,155,1319,11873,77,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swedish Evangelical Free Church of the United States of America,1-8-1,107,37,70,8166,4994,3172,76,135,45,3293,4195,678,7168,16,982,103,101,1228700,12165,22,114812,36,35,859200,24549,14,108442,67,66,369500,5598,8,6370,102,329644,264054,65590,NA,3232,36,212437,174924,37513,NA,5901,66,117207,89130,28077,NA,1776,56,223350,3988,9,14801,95,1082,11250,118,34,595,6146,181,61,487,5104,84,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norwegian and Danish Evangelical Free Church Association of North America,1-8-2,41,28,13,3781,3212,569,92,115,44,1495,2186,100,3618,33,130,42,40,960500,24013,25,118073,29,27,914000,33852,21,115123,13,13,46500,3577,4,2950,40,222818,167506,52587,2725,5570,27,204813,156092,48721,NA,7586,13,18005,11414,3866,2725,1385,10,53900,5390,5,13450,36,460,3877,108,26,398,3443,132,10,62,434,43,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schwenkfelders,1-8-3,6,3,3,1596,825,771,266,275,257,677,919,NA,964,NA,632,6,6,183000,30500,NA,NA,3,3,85000,28333,NA,NA,3,3,98000,32667,NA,NA,6,48311,28709,19602,NA,8052,3,19644,17301,2343,NA,6548,3,28667,11408,17259,NA,9556,2,18500,9250,1,5700,6,151,2042,340,3,95,1291,430,3,56,751,250,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
